"dbn","school","school_type","report_type","principal","superintendent","colocated","colocated_dbns","Universal Literacy","Algebra for All","AP for All","College Access for All (MS)","College Access for All (HS)","Computer Science for All","Single Shepherd","District Charter Partnership","MSQI","Learning Partners","Showcase","Community School","PROSE","Consortium School","Gifted and Talented","Dual Language or Transitional","New Arrivals","Mastery Collaborative","admission_method","Phase out","Renewal","Receivership","Rise","federal_accountability_status","district","bfsc"
02M303,"Facing History School, The",High School,HS,Dana Panagot,Kathy Pelles,1,"02M288, 02M296, 02M300, 02M542, 75M138",0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
02M305,"Urban Assembly Academy of Government and Law, The",High School,HS,Alison Breedy,Fred Walsh,1,"02M294, 02M308, 02M543, 02M545",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
02M308,Lower Manhattan Arts Academy,High School,HS,John Wenk,Marisol Rosales,1,"02M294, 02M305, 02M543, 02M545",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,MFSC
02M312,New York City Lab Middle School for Collaborative,Middle,EMS,Megan Adams,Bonnie Laboy,1,"02M412, 02M414",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS: Screened,0,,,,Good Standing,02,MFSC
02M313,"James Baldwin School, The: A School for Expedition",High School Transfer,HST,Brady Smith,Kathy Pelles,1,"02M392, 02M419, 02M422, 02M437, 02M605",0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,Transfer School: School-managed Admissions,0,,,,Good Standing,02,AFSA
02M316,"Urban Assembly School of Business for Young Women,",High School,HS,Patricia Minaya,Fred Walsh,1,"02M580, 02M896",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
02M340,Sixth Avenue Elementary School,K-3,EC,Patricia Carney,Bonnie Laboy,1,"02M391, 75M094",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M343,The Peck Slip School,Elementary,EMS,Margaret Siena,Bonnie Laboy,1,02M391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M347,The 47 American Sign Language & English Lower Scho,K-8,EMS,David Bowell,Bonnie Laboy,1,"02M047, 75M138",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K: Non-Zoned School, MS: Screened",0,,,,Good Standing,02,MFSC
02M374,Gramercy Arts High School,High School,HS,Susan Dicicco,Marisol Rosales,1,"02M399, 02M438, 02M533, 02M546, 84M174",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Audition,0,,,,Good Standing,02,MFSC
02M376,NYC iSchool,High School,HS,Isora Bailey,Marisol Rosales,1,02M615,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,HS: Screened,0,,,,Good Standing,02,MFSC
02M392,MANHATTAN BUSINESS ACADEMY,High School,HS,Karen Polsonetti,Marisol Rosales,1,"02M313, 02M419, 02M422, 02M437, 02M605",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,MFSC
02M393,Business Of Sports School,High School,HS,Joshua Solomon,Donald Conyers,1,"02M139, 02M507, 84M170, 84M523",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
02M394,Emma Lazarus High School,High School Transfer,HST,Melody Kellogg,Paul Rotondo,1,"02M131, 02M298",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Transfer School: School-managed Admissions,0,,,,Good Standing,02,MFSC
02M397,Spruce Street School,K-8,EMS,Nancy Harris,Bonnie Laboy,1,75M094,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K: Zoned School, MS: Limited Unscreened",0,,,,Good Standing,02,MFSC
02M399,The High School For Language And Diplomacy,High School,HS,Sarah Hernandez,Marisol Rosales,1,"02M374, 02M438, 02M533, 02M546, 84M174",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,MFSC
02M400,High School for Environmental Studies,High School,HS,Amber Najmi Shadid,Marisol Rosales,1,"02M544, 79M973",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"HS: Ed. Opt., Screened",0,,,,Good Standing,02,MFSC
02M407,Institute for Collaborative Education,Middle,EMS,Peter Karp,Kathy Pelles,1,"02M420, 75M226",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"MS: School-managed Admissions, HS: Screened",0,,,,Good Standing,02,AFSA
02M407,Institute for Collaborative Education,High School,HS,Peter Karp,Kathy Pelles,1,"02M420, 75M226",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"MS: School-managed Admissions, HS: Screened",0,,,,Good Standing,02,AFSA
02M408,Professional Performing Arts High School,Middle,EMS,Keith Ryan,Marisol Rosales,1,02M212,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MS: Screened, HS: Audition",0,,,,Good Standing,02,MFSC
02M408,Professional Performing Arts High School,High School,HS,Keith Ryan,Marisol Rosales,1,02M212,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MS: Screened, HS: Audition",0,,,,Good Standing,02,MFSC
02M411,Baruch College Campus High School,High School,HS,Alicia Perez Katz,Marisol Rosales,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Screened,0,,,,Good Standing,02,MFSC
02M412,N.Y.C. Lab School for Collaborative Studies,High School,HS,Brooke Jackson,Marisol Rosales,1,"02M312, 02M414",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,HS: Screened,0,,,,Good Standing,02,MFSC
02M413,School of the Future High School,Middle,EMS,Stacy Goldstein,Kathy Pelles,0,,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"MS: Screened, HS: Screened",0,,,,Good Standing,02,AFSA
